006.Export Value per Exporter: Mean,011.Export Value per Entrant: Mean,016.Export Value per Exiter: Mean,021.Export Value per Surviving Entrant: Mean,026.Export Value per Incumbent: Mean,031.Growth of Incumbents: Mean,036.Growth of Surviving Entrants: Mean,045.Number of HS6 Products per Exporter: Mean,048.Number of Destinations per Exporter: Mean,051.Number of Exporters per HS6 Product: Mean,054.Number of Exporters per Destination: Mean,057.Destination Entry Rate of Incumbents: Mean,060.Destination Entry Rate of Surviving Entrants: Mean,063.Share of New Destinations in TEV of Incumbents: Mean,066.Share of New Destinations in TEV of Surviving Entrants: Mean,069.Destination Exit Rate of Incumbents: Mean,072.Destination Survival Rate of 2-year Incumbents: Mean,081.Product Entry Rate of Incumbents: Mean,084.Product Entry Rate of Surviving Entrants: Mean,087.Share of New Products in TEV of Incumbents: Mean,090.Share of New Products in TEV of Surviving Entrants: Mean,093.Product Exit Rate of Incumbents: Mean,096.Product Survival Rate of 2-year Incumbents: Mean,001.Number of Exporters,002.Number of Entrants,003.Number of Exiters,004.Number of Surviving Entrants,005.Number of Incumbents,041.Herfindahl-Hirschman Index,075.Firm Entry Rate,076.Firm Exit Rate,077.Entrant 1st Year Survival Rate,078.Share of Entrants in TEV (Total Export Value),079.Entrant 2nd Year Survival Rate,080.Entrant 3rd Year Survival Rate,Country Name,Industry Name,Year
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"151:Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",2014 [YR2014]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,154:Manufacture of other food products,1997 [YR1997]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,154:Manufacture of other food products,1998 [YR1998]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,154:Manufacture of other food products,1999 [YR1999]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,154:Manufacture of other food products,2000 [YR2000]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,154:Manufacture of other food products,2001 [YR2001]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,154:Manufacture of other food products,2002 [YR2002]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,154:Manufacture of other food products,2003 [YR2003]
101633.4453,..,..,..,..,..,..,1.600000024,1.600000024,1.523809552,2.909090996,..,..,..,..,..,..,..,..,..,..,..,..,20,..,..,..,..,0.27620244,..,..,..,..,..,..,Albania,154:Manufacture of other food products,2004 [YR2004]
123174.6953,47465.77734,32633.38672,2973.10498,215707.8125,-0.098217219,-0.184955597,1.5,1.399999976,1.428571463,3.111111164,0.063492067,..,0.011900082,..,0.268518507,0.5,0.127777785,..,0.042161528,..,0.175925925,0.25,20,11,11,1,9,0.353388786,0.550000012,0.550000012,0.090909094,0.211944327,0.090909094,0.090909094,Albania,154:Manufacture of other food products,2005 [YR2005]
79078.14063,5419.13916,52334.23828,5841.474121,161944.5156,-0.647332072,1.889757872,1.529411793,1.294117689,1.444444418,3.666666746,0.125,1,0.125,1,0.223214284,1,0.449999988,1,0.377213001,1,0.524999976,0.722222209,17,9,12,5,8,0.63630718,0.529411793,0.600000024,0.555555582,0.036280014,0.444444448,0.222222224,Albania,154:Manufacture of other food products,2006 [YR2006]
71715.25,12681.97559,7711.317871,4891.606934,154361.8438,1.182064056,2.699899435,1.416666627,1.25,2.266666651,3.75,0.349999994,0.600000024,0.357515693,0.600000024,0.370000005,0.25,0.224999994,0.300000012,0.222727343,0.392635375,0.264999986,0.5,24,14,7,3,10,0.531511724,0.583333313,0.411764711,0.214285716,0.103155442,0.214285716,0.071428575,Albania,154:Manufacture of other food products,2007 [YR2007]
99660.54688,103883.7969,16895.46094,264852.1875,94285.5,1.036752105,0.020143604,1.840000033,1.440000057,2.190476179,5.142857075,0.363636374,0.333333343,0.305568427,0.333333343,0.318181813,0.5,0.390909106,0.333333343,0.245094895,0.067605369,0.25,0.4375,25,14,13,5,11,0.261426806,0.560000002,0.541666687,0.357142866,0.583730698,0.142857149,0.071428575,Albania,154:Manufacture of other food products,2008 [YR2008]
61713.81641,14179.58691,59047.99609,23146.99414,130854.5156,-0.025227331,1.210679889,1.777777791,1.185185194,2.400000095,3.555555582,0.121212125,0.266666681,0.099447556,0.21878463,0.25,1,0.272727281,0.5,0.117698625,0.245681688,0.304545462,0.333333343,27,16,14,6,11,0.279053688,0.592592597,0.560000002,0.375,0.136156201,0.25,0.25,Albania,154:Manufacture of other food products,2009 [YR2009]
53563.52734,16911.26758,15081.94434,21430.29883,110207.9297,0.429270297,0.167261183,1.571428537,1.178571463,2.095238209,5.5,0.022727273,0,0.021111043,0,0.060606062,1,0.159090906,0.208333328,0.116848536,0.168608576,0.333333343,0.5,28,17,16,9,11,0.103053875,0.607142866,0.592592597,0.529411793,0.191689312,0.235294119,..,Albania,154:Manufacture of other food products,2010 [YR2010]
73572.92969,24250.03906,28114.81445,27236.24219,154810.625,0.179458395,0.609356761,1.377777815,1.266666651,3.263157845,4.75,0.172268912,0,0.109929211,0,0.05882353,0.899999976,0.254901975,0.277777791,0.202591598,0.253186673,0.259803921,0.5,45,28,11,9,17,0.212820828,0.622222245,0.392857134,0.321428567,0.205087841,..,..,Albania,154:Manufacture of other food products,2011 [YR2011]
131748.2969,30095.21484,22018.74609,..,243082.625,0.493876338,..,1.840909123,1.454545498,2.892857075,4.266666889,0.18650794,0.222222224,0.14153856,0.222222224,0.134920642,..,0.274603188,0.203703701,0.157301933,0.196533829,0.134920642,..,44,23,24,..,21,0.394695342,0.522727251,0.533333361,..,0.119406402,..,..,Albania,154:Manufacture of other food products,2012 [YR2012]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,154:Manufacture of other food products,2013 [YR2013]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,154:Manufacture of other food products,2014 [YR2014]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"171:Spinning, weaving and finishing of textiles",1997 [YR1997]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"171:Spinning, weaving and finishing of textiles",1998 [YR1998]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"171:Spinning, weaving and finishing of textiles",1999 [YR1999]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"171:Spinning, weaving and finishing of textiles",2000 [YR2000]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"171:Spinning, weaving and finishing of textiles",2001 [YR2001]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"171:Spinning, weaving and finishing of textiles",2002 [YR2002]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"171:Spinning, weaving and finishing of textiles",2003 [YR2003]
11088.9248,..,..,..,..,..,..,1.724137902,1.034482718,1.219512224,4.285714149,..,..,..,..,..,..,..,..,..,..,..,..,29,..,..,..,..,0.396350592,..,..,..,..,..,..,Albania,"171:Spinning, weaving and finishing of textiles",2004 [YR2004]
16381.17871,14255.98828,3736.879883,3554.270508,19143.92578,0.43147698,0.694697678,1.565217376,1.086956501,1.285714269,3.125,0.100000001,..,0.100000001,..,0.100000001,..,0.441666663,..,0.457783639,..,0.533333361,0.277777791,23,13,19,3,10,0.259501219,0.565217376,0.655172408,0.230769232,0.491889685,0.07692308,0.07692308,Albania,"171:Spinning, weaving and finishing of textiles",2005 [YR2005]
16191.36426,19577.27148,13067.4873,2190.130371,7484.749023,-0.679164708,4.111606121,1.440000057,1,1.333333373,4.166666508,0,0,0,0,0,..,0.383333325,0.333333343,0.224244595,0.333333343,0.357142866,0.166666672,25,18,16,5,7,0.152842209,0.720000029,0.695652187,0.277777791,0.870564938,0.166666672,0.166666672,Albania,"171:Spinning, weaving and finishing of textiles",2006 [YR2006]
7362.311035,4416.934082,22770.38086,3994.562744,18407.47461,2.466721058,1.035019875,1.315789461,1,1.515151501,6.333333492,0,0,0,0,0,..,0.625,0.866666675,0.609135807,0.774941087,0.552083313,0.25,38,30,17,16,8,0.162447393,0.789473712,0.680000007,0.533333361,0.473635733,0.333333343,0.233333334,Albania,"171:Spinning, weaving and finishing of textiles",2007 [YR2007]
12286.14844,4897.94043,4592.26416,4328.365234,19338.52734,0.297712922,-0.922033906,1.465116262,1,1.399999976,4.777777672,0,0,0,0,0,..,0.534090936,0.510416687,0.474254996,0.487638026,0.477272719,0.25333333,43,21,16,7,22,0.108075112,0.488372087,0.421052635,0.333333343,0.194692224,0,0,Albania,"171:Spinning, weaving and finishing of textiles",2008 [YR2008]
8994.648438,3760.78833,8888.480469,3566.250244,13752.70313,-0.081296794,-0.400318235,1.428571463,1,1.714285731,6,0.045454547,0,0.045454547,0,0.045454547,..,0.587121189,0.714285731,0.544837117,0.714285731,0.589393914,0.583333313,42,20,21,6,22,0.134853512,0.476190478,0.488372087,0.300000012,0.199101895,0.25,0.200000003,Albania,"171:Spinning, weaving and finishing of textiles",2009 [YR2009]
16353.12109,13129.2666,7340.155762,11967.23633,23559.38477,-0.230732247,0.944392741,1.25454545,1.036363602,1.815789461,7.125,0,0,0,0,0,..,0.17058824,0.166666672,0.165517598,0.166666672,0.267647058,0.333333343,55,38,25,18,17,0.153213143,0.690909088,0.59523809,0.473684222,0.554703295,0.263157904,..,Albania,"171:Spinning, weaving and finishing of textiles",2010 [YR2010]
12273.75098,14646.20996,22827.11133,27066.82617,9664.045898,0.342921764,-1.563067079,1.238095284,1.015873075,1.591836691,9.142857552,0,0,0,0,0.016666668,..,0.461111099,0.555555582,0.462727278,0.586250782,0.455555558,0.454545468,63,33,25,11,30,0.121419303,0.523809552,0.454545468,0.333333343,0.625059426,..,..,Albania,"171:Spinning, weaving and finishing of textiles",2011 [YR2011]
16391.27734,12726.3291,8562.756836,..,18681.87109,0.022451159,..,1.326923132,1.076923132,1.5,7,0.078125,0.090909094,0.107481852,0.090909094,0.03125,..,0.333333343,0.454545468,0.337850749,0.454545468,0.359375,..,52,20,31,..,32,0.095526122,0.384615391,0.492063493,..,0.298618704,..,..,Albania,"171:Spinning, weaving and finishing of textiles",2012 [YR2012]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"171:Spinning, weaving and finishing of textiles",2013 [YR2013]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"171:Spinning, weaving and finishing of textiles",2014 [YR2014]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"181:Manufacture of wearing apparel, except fur apparel",1997 [YR1997]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"181:Manufacture of wearing apparel, except fur apparel",1998 [YR1998]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"181:Manufacture of wearing apparel, except fur apparel",1999 [YR1999]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"181:Manufacture of wearing apparel, except fur apparel",2000 [YR2000]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"181:Manufacture of wearing apparel, except fur apparel",2001 [YR2001]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"181:Manufacture of wearing apparel, except fur apparel",2002 [YR2002]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"181:Manufacture of wearing apparel, except fur apparel",2003 [YR2003]
690942.5,..,..,..,..,..,..,4.439516068,1.112903237,6.592814445,17.25,..,..,..,..,..,..,..,..,..,..,..,..,248,..,..,..,..,0.014923143,..,..,..,..,..,..,Albania,"181:Manufacture of wearing apparel, except fur apparel",2004 [YR2004]
717703.1875,120218.3047,89041.67188,167837.4688,834798.1875,0.084627084,0.765388608,4.168067455,1.130252123,6.441558361,16.8125,0.040201005,..,0.009334865,..,0.034673367,0.333333343,0.369570583,..,0.165367484,..,0.419464797,0.263679385,238,39,49,18,199,0.013223476,0.163865551,0.19758065,0.461538464,0.02744817,0.307692319,0.230769232,Albania,"181:Manufacture of wearing apparel, except fur apparel",2005 [YR2005]
754799.1875,153562.8906,170381.1875,253839,956277.3125,0.104953244,0.604728878,4.199203014,1.147410393,6.506172657,13.090909,0.043186422,0.111111112,0.020011332,0.111111112,0.044326242,0.111111112,0.377746254,0.483838379,0.158933014,0.352664232,0.39146629,0.291852415,251,63,50,36,188,0.012891285,0.250996023,0.210084036,0.571428597,0.051064808,0.476190478,0.365079373,Albania,"181:Manufacture of wearing apparel, except fur apparel",2006 [YR2006]
945810.9375,174991.5,176757.875,244875.6875,1159927.5,0.092698693,1.280104041,4.134387493,1.086956501,6.537499905,16.1764698,0.027777778,0.055555556,0.006118444,0.008606917,0.039682541,0.300000012,0.323423803,0.312102765,0.110389963,0.122136474,0.340461522,0.280963272,253,55,53,37,198,0.016466461,0.217391297,0.211155385,0.672727287,0.040221181,0.527272701,0.363636374,Albania,"181:Manufacture of wearing apparel, except fur apparel",2007 [YR2007]
1089035.75,186198.8594,195693.4219,288307.1875,1329199.25,0.097531095,0.459921211,4.268482685,1.066147804,6.943037987,14.42105293,0.032019705,0.094594598,0.025348747,0.081098072,0.04187192,0.380952388,0.396754116,0.589575291,0.194222972,0.409600765,0.355178267,0.304962516,257,54,50,33,203,0.019498192,0.210116729,0.197628453,0.611111104,0.035924893,0.407407403,0.333333343,Albania,"181:Manufacture of wearing apparel, except fur apparel",2008 [YR2008]
904112.875,146546.1875,157835.6563,248508.625,1110381,-0.263025582,0.329519868,4.587548733,1.077821016,7.277777672,14.57894707,0.032178219,0.045454547,0.027508432,0.052081276,0.031353135,0.25,0.46989888,0.554778397,0.287284106,0.355422825,0.411012471,0.358551204,257,55,55,29,202,0.019609593,0.21400778,0.21400778,0.527272701,0.034688175,0.363636374,0.25454545,Albania,"181:Manufacture of wearing apparel, except fur apparel",2009 [YR2009]
923657.25,148601.4844,144481.625,250672.9844,1139857,-0.079906262,0.684235513,4.687242985,1.090534925,6.82035923,12.61904716,0.042456139,0.068965517,0.014913743,0.049499668,0.03508772,0,0.36949572,0.410879344,0.180791765,0.281249672,0.422401994,0.424513131,243,53,67,29,190,0.018796597,0.218107,0.260700375,0.547169805,0.03508988,0.320754707,..,Albania,"181:Manufacture of wearing apparel, except fur apparel",2010 [YR2010]
1082561.125,242773.5938,178642.0781,406918.0313,1317340.375,0.118876114,0.328053623,4.567226887,1.109243751,6.628048897,13.89473724,0.05734767,0.137931034,0.026202142,0.106330112,0.047849461,0.40476191,0.353168994,0.51254791,0.173790142,0.272453994,0.354912221,0.30809167,238,52,57,29,186,0.016939525,0.218487397,0.234567896,0.557692289,0.04899767,..,..,Albania,"181:Manufacture of wearing apparel, except fur apparel",2011 [YR2011]
1012684.438,255168,120142.1953,..,1234498.625,-0.274128497,..,4.123931408,1.115384579,6.18589735,13.73684216,0.029005526,0,0.012776967,0,0.033149172,..,0.301513433,0.431922674,0.141107947,0.260700643,0.385692716,..,234,53,57,..,181,0.017462302,0.226495728,0.239495799,..,0.057070553,..,..,Albania,"181:Manufacture of wearing apparel, except fur apparel",2012 [YR2012]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"181:Manufacture of wearing apparel, except fur apparel",2013 [YR2013]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"181:Manufacture of wearing apparel, except fur apparel",2014 [YR2014]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"202:Manufacture of products of wood, cork, straw and plaiting materials",1997 [YR1997]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"202:Manufacture of products of wood, cork, straw and plaiting materials",1998 [YR1998]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"202:Manufacture of products of wood, cork, straw and plaiting materials",1999 [YR1999]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"202:Manufacture of products of wood, cork, straw and plaiting materials",2000 [YR2000]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"202:Manufacture of products of wood, cork, straw and plaiting materials",2001 [YR2001]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"202:Manufacture of products of wood, cork, straw and plaiting materials",2002 [YR2002]
..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,Albania,"202:Manufacture of products of wood, cork, straw and plaiting materials",2003 [YR2003]
59720.15625,..,..,..,..,..,..,1.357142806,1.232142806,7.599999905,8.117647171,..,..,..,..,..,..,..,..,..,..,..,..,112,..,..,..,..,0.181110159,..,..,..,..,..,..,Albania,"202:Manufacture of products of wood, cork, straw and plaiting materials",2004 [YR2004]
43918.10156,9998.095703,4889.53125,20059.43555,92639.5625,0.024092505,0.35861969,1.194029808,1.164179087,9.411765099,7.428571224,0.082828283,..,0.043376219,..,0.114393942,0.4375,0.170000002,..,0.137240931,..,0.25,0.25,134,79,57,27,55,0.068859868,0.589552224,0.508928597,0.341772139,0.134213433,0.12658228,0.113924049,Albania,"202:Manufacture of products of wood, cork, straw and plaiting materials",2005 [YR2005]
49930.80859,4275.59375,9620.099609,8023.713867,90214.82031,-0.003220029,0.467055917,1.2265625,1.1796875,8.722222328,9.4375,0.070465684,0.024691358,0.051792987,0.034805089,0.066993468,0.222222224,0.113562092,0.018518519,0.063469462,0.000960729,0.097303919,0.257142872,128,60,66,18,68,0.10321039,0.46875,0.49253732,0.300000012,0.040139236,0.183333337,0.150000006,Albania,"202:Manufacture of products of wood, cork, straw and plaiting materials",2006 [YR2006]
73669.41406,7659.54834,5191.76123,9370.951172,146172.0469,0.41574508,0.352270484,1.171875,1.1875,8.823529243,8.444444656,0.098360658,0.083333336,0.077250846,0.082432836,0.11338798,0.200000003,0.071038254,0.083333336,0.057732385,0.057474662,0.167577416,0.100000001,128,67,67,25,61,0.134070158,0.5234375,0.5234375,0.373134315,0.054422788,0.25373134,0.134328365,Albania,"202:Manufacture of products of wood, cork, straw and plaiting materials",2007 [YR2007]
